shop_name,category,name_product,product_id,url_product,main_ingredient,attributes,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,is_premium,rarity_score
Никитин Ферм,Мясо и птица,говяжьи ноги,25950,https://svoe-rodnoe.ru/category/subprodukty/10619-004-000023-govjadina-nogi,нога,"[""говяжий""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,говяжьи почки,25946,https://svoe-rodnoe.ru/category/subprodukty/10619-004-000074-govjadina-pochki,почка,"[""говяжий""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,грудинка солёная,24867,https://svoe-rodnoe.ru/category/kopchenoe-i-vjalenoe-mjaso/10619-0009-grudinka-soljonaja,грудинка,"[""солёный""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,корейка свиная варено-копчёная,25366,https://svoe-rodnoe.ru/category/kopchenoe-i-vjalenoe-mjaso/10619-002-000023-korejka-svinaja-vareno-kopchjonaja,корейка,"[""свиной"", ""варить"", ""копчёный""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,кролик тушка,26651,https://svoe-rodnoe.ru/category/krolik/10619-004-000046-krolik,кролик,"[""тушка""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,сало вареное с чесноком,25350,https://svoe-rodnoe.ru/category/salo/10619-004-000079-salo-varenoe-s-chesnokom,сало,"[""варёный"", ""чеснок""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,свинина карбонат без кости,26390,https://svoe-rodnoe.ru/category/svinoj-karbonat/10619-004-000026-svinina-karbonat-bez-kosti,свинина,"[""карбонат"", ""кость""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,свинина ноги (копыта),26395,https://svoe-rodnoe.ru/category/subprodukty/10619-004-000030-svinina-nogi-kopyta,свинина,"[""нога"", ""копыто""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,свинина рулька,26397,https://svoe-rodnoe.ru/category/svinaja-rul-ka/10619-004-000033-svinina-rul-ka,свинина,"[""рулька""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,тушка ягненка,26645,https://svoe-rodnoe.ru/category/mutton/10619-004-000044-tushka-jagnenka,тушка,"[""ягнёнок""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,фарш говядина,26659,https://svoe-rodnoe.ru/category/farsh-govjazhij/10619-004-000048-farsh-govjadina,фарш,"[""говядина""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,фарш куриный,26667,https://svoe-rodnoe.ru/category/farsh-kurinyj/10619-004-000088-farsh-kurinyj,фарш,"[""куриный""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,язык говяжий,25952,https://svoe-rodnoe.ru/category/subprodukty/10619-004-000024-jazyk-govjazhij,язык,"[""говяжий""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Овощи и фрукты,огурцы свежие,25388,https://svoe-rodnoe.ru/category/vegetables/10619-005-000006-ogurcy,огурец,"[""свежий""]",0,0,0,0,0,1,1,1,0,0,0,0,0,10
Никитин Ферм,Овощи и фрукты,"петрушка, 100 г",25402,https://svoe-rodnoe.ru/category/zelen/10619-005-000017-petrushka,петрушка,[],1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Овощи и фрукты,помидоры крупные розовые,25390,https://svoe-rodnoe.ru/category/vegetables/10619-005-000007-pomidory,помидор,"[""крупный"", ""розовый""]",0,0,0,0,0,0,1,1,1,0,0,0,0,10
Никитин Ферм,Бакалея,запеканка творожная,26772,https://svoe-rodnoe.ru/category/dishes/10619-003-000015-zapekanka-tvorozhnaja,запеканка,"[""творожный""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Бакалея,лечо с болгарским перцем,26786,https://svoe-rodnoe.ru/category/ovoschi-konservirovannye/10619-003-000030-lecho-s-bolgarskim-percem,лечо,"[""болгарский"", ""перец""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Бакалея,тушенка куриная,26801,https://svoe-rodnoe.ru/category/stew/10619-003-000008-tushenka-kurinaja,тушёнка,"[""куриный""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Бакалея,тушенка свинина,26799,https://svoe-rodnoe.ru/category/stew/10619-003-000006-tushenka-svinina,тушёнка,"[""свинина""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Заморозка,люля-кебаб баранина,26688,https://svoe-rodnoe.ru/category/kotlety/10619-006-000008-ljulja-kebab-baranina,люля,"[""кебаб"", ""баранина""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,баранина корейка с костью,26639,https://svoe-rodnoe.ru/category/baran-ja-korejka/10619-004-000042-baranina-korejka-s-kost-ju,баранина,"[""корейка"", ""кость""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,баранина курдюк,26648,https://svoe-rodnoe.ru/category/mutton/10619-004-000045-baranina-kurdjuk,баранина,"[""курдюк""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,говядина варено-копченая,25338,https://svoe-rodnoe.ru/category/kopchenoe-i-vjalenoe-mjaso/10619-002-000011-govjadina-vareno-kopchenaja,говядина,"[""варить"", ""копчёный""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,говядина край с костью,25912,https://svoe-rodnoe.ru/category/govjadina/10619-004-000017-govjadina-kraj-s-kost-ju,говядина,"[""край"", ""кость""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
